,date_group,time_group,기온(°C),누적강수량(mm),풍속(m/s)
0,15일,05시,16.273333333333333,0.0,2.613333333333334
1,15일,06시,15.526666666666673,0.0,1.7066666666666663
2,15일,07시,15.66666666666666,0.0,1.5616666666666668
3,15일,08시,16.953333333333333,0.0,1.5716666666666665
4,15일,09시,17.70166666666667,0.0,1.4849999999999999
5,15일,10시,17.95333333333332,0.0,3.1300000000000003
6,15일,11시,18.026666666666664,0.0,1.6249999999999998
7,15일,12시,17.721666666666657,0.16000000000000003,1.5433333333333332
8,15일,13시,17.428333333333335,0.6150000000000007,1.6950000000000007
9,15일,14시,17.27500000000001,1.038333333333333,0.8750000000000004
10,15일,15시,18.542372881355924,1.7677966101694895,2.433898305084745
11,15일,16시,18.673333333333343,1.853333333333335,2.9883333333333324
12,15일,17시,18.628333333333337,1.900000000000002,2.578333333333333
13,15일,18시,18.30666666666667,2.101666666666667,2.138333333333333
14,15일,19시,17.904999999999987,2.5716666666666645,2.438333333333333
15,15일,20시,17.863333333333312,3.0633333333333295,2.1116666666666672
16,15일,21시,17.789999999999996,3.199999999999997,1.675
17,15일,22시,17.661666666666672,3.199999999999997,1.6750000000000005
18,16일,05시,16.398333333333323,0.0,2.0933333333333337
19,16일,06시,16.188333333333343,0.0,1.9700000000000002
20,16일,07시,16.246666666666673,0.0,2.115
21,16일,08시,18.005000000000003,0.0,2.055
22,16일,09시,19.365,0.0,3.4966666666666666
23,16일,10시,19.928333333333338,0.0,3.7083333333333326
24,16일,11시,20.57666666666666,0.0,3.7433333333333327
25,16일,12시,20.765,0.0,3.8066666666666666
26,16일,13시,20.613333333333337,0.0,3.7266666666666666
27,16일,14시,20.37999999999999,0.0,3.513333333333334
28,16일,15시,19.924999999999997,0.0,3.9066666666666667
29,16일,16시,19.578333333333337,0.0,3.363333333333334
30,16일,17시,18.971666666666657,0.0,1.6933333333333331
31,16일,18시,18.308333333333334,0.0,1.5566666666666669
32,16일,19시,17.413333333333334,0.0,1.2016666666666669
33,16일,20시,17.11,0.0,1.2899999999999998
34,16일,21시,16.86833333333333,0.0,0.9283333333333336
35,16일,22시,16.315000000000005,0.0,1.4233333333333336
36,17일,05시,16.690000000000015,0.0,1.5366666666666675
37,17일,06시,16.514999999999997,0.0,1.4416666666666664
38,17일,07시,16.91333333333333,0.0,1.8233333333333335
39,17일,08시,19.156666666666663,0.0,1.2550000000000001
40,17일,09시,20.286666666666672,0.0,2.1199999999999997
41,17일,10시,20.915000000000003,0.0,3.261666666666667
42,17일,11시,20.681666666666665,0.0,4.033333333333333
43,17일,12시,20.554999999999996,0.0,4.378333333333333
44,17일,13시,20.553333333333345,0.0,5.375
45,17일,14시,20.326666666666657,0.0,5.870000000000001
46,17일,15시,20.156666666666673,0.0,4.766666666666666
47,17일,16시,20.051666666666673,0.0,4.045
48,17일,17시,19.969999999999995,0.0,3.176666666666667
49,17일,18시,19.981666666666662,0.0,2.9366666666666674
50,17일,19시,20.221666666666653,0.0,3.5366666666666675
51,17일,20시,20.47333333333332,0.0,4.401666666666667
52,17일,21시,20.616666666666664,0.0,5.509999999999999
53,17일,22시,20.54333333333334,0.0,3.833333333333334
54,18일,05시,18.456666666666656,4.286666666666667,2.3066666666666666
55,18일,06시,18.27166666666666,6.431666666666668,2.145
56,18일,07시,18.728333333333328,6.5,2.426666666666667
57,18일,08시,18.67000000000001,6.826666666666664,2.371666666666667
58,18일,09시,18.97166666666667,7.598333333333342,4.478333333333333
59,18일,10시,19.12000000000001,7.671666666666665,4.925000000000001
60,18일,11시,19.068333333333342,7.8999999999999915,4.573333333333333
61,18일,12시,19.093333333333337,7.8999999999999915,4.063333333333334
62,18일,13시,19.10333333333334,7.8999999999999915,4.344999999999999
63,18일,14시,19.219999999999988,7.8999999999999915,4.251666666666666
64,18일,15시,19.448333333333327,7.8999999999999915,4.6883333333333335
65,18일,16시,19.525,7.8999999999999915,4.63
66,18일,17시,19.676666666666684,7.8999999999999915,5.0733333333333315
67,18일,18시,19.72833333333333,7.8999999999999915,4.448333333333334
68,18일,19시,19.713333333333313,7.8999999999999915,3.3800000000000003
69,18일,20시,19.884999999999984,7.8999999999999915,3.3233333333333324
70,18일,21시,20.08166666666668,7.8999999999999915,3.443333333333335
71,18일,22시,18.916666666666647,8.058333333333342,1.688333333333333
72,19일,05시,19.28666666666665,0.0,3.1933333333333334
73,19일,06시,19.291666666666647,0.0,2.5566666666666658
74,19일,07시,19.24833333333331,0.0,1.9316666666666669
75,19일,08시,19.471666666666668,0.0,2.418333333333334
76,19일,09시,20.02499999999999,0.0,2.4933333333333336
77,19일,10시,21.126666666666665,0.0,2.686666666666667
78,19일,11시,21.134999999999994,0.0,2.9200000000000004
79,19일,12시,21.71333333333333,0.0,2.581666666666666
80,19일,13시,21.934999999999995,0.0,2.5166666666666666
81,19일,14시,21.890000000000008,0.0,2.1883333333333326
82,19일,15시,21.86166666666666,0.0,2.660000000000001
83,19일,16시,21.091666666666665,0.0,2.485
84,19일,17시,20.474999999999984,0.0,2.013333333333333
85,19일,18시,20.005,0.0,2.4683333333333333
86,19일,19시,19.938333333333333,0.0,1.8683333333333327
87,19일,20시,19.148333333333326,0.0,1.2050000000000003
88,19일,21시,18.66333333333333,0.0,1.131666666666667
89,19일,22시,18.276666666666667,0.0,0.97
90,20일,05시,16.210000000000004,0.0,1.605
91,20일,06시,15.581666666666672,0.0,1.8633333333333335
92,20일,07시,16.04,0.0,1.6966666666666665
93,20일,08시,18.695000000000004,0.0,1.2716666666666663
