,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,latitude,longitude
120076,4060042100,101,중산간도로교차로,0,,125.63887575196877,33.976367138509616
120077,4060041500,101,신서로122번길 42,0,,125.63806055864292,33.976052713944995
120078,4060041400,101,신동로67번길 67,0,,125.63804917259729,33.97635354392896
120079,4060041300,101,신동로67번길 66,0,,125.6380357307296,33.97670870877136
120080,4060039100,101,신북로 22-1,0,,125.63673121025303,33.9776332228185
120081,4060034500,101,새서귀초등학교,0,,125.63521604571363,33.978538011778774
120082,4060038600,101,신북로 9,0,,125.63648252580991,33.978833822645
120083,4060040600,101,신북로24번길 5,0,,125.63746072823326,33.9779734829028
120084,4060040400,101,신서로102번길 70,0,,125.63731366427412,33.978781265246695
120085,4060041200,101,신서귀로76번길 50,0,,125.63794641133039,33.97874125090365
120086,4060041800,101,신서귀로76번길 54,0,,125.6386424777341,33.97871781186244
120087,4060031500,101,막동산로 20,0,,125.63400075875072,33.98736722492165
120088,4060036000,101,서호마을회관앞,0,,125.6353291962405,33.98681110603784
120089,4060027900,101,서호호근로 77,0,,125.63138218877423,33.98798283203381
120090,4060032700,101,막동산로 13,0,,125.63440222648201,33.98809460878034
120091,4060035900,101,서호교회앞,0,,125.6352886964848,33.98810912365224
120092,4060035800,101,호근로 69,0,,125.63525379877645,33.9892281580741
120093,4060035700,103,호근로 65,0,어린이보호구역 시/종점,125.63524567048698,33.98948887591411
120094,4060017400,101,태평로 204,0,,125.61992358369353,34.00440334057939
120095,4060019900,101,태평로 261,0,,125.62282079960069,34.00899634467975
120096,4060025500,103,하논로 23,0,어린이보호구역 시/종점,125.62906001596536,34.00806642986422
120097,4060027800,103,토담어린이집앞,0,어린이보호구역 시/종점,125.63081906870525,34.007395092089276
120098,4060004801,101,섬이보이는펜션앞,0,,125.63992070560187,33.98819202547054
120099,4060004804,104,제2서흥교(동측),0,,125.64130503558185,34.00322428684839
120100,4060004803,104,제2서흥교(서측),0,,125.64127622443065,34.00302210479761
